epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6318,2.29143,4.0453,1.98577,0.288,0.22051,0.17425,0.05321,2.39099,3.57884,2.27862,0.00044299,0.00044299,0.00044299
2,32.6662,2.13924,3.1949,1.84455,0.1284,0.32653,0.14059,0.04433,2.4732,4.67877,2.44283,0.000900215,0.000900215,0.000900215
3,40.3154,2.12526,2.95694,1.823,0.08261,0.22037,0.06114,0.02026,2.30215,6.0916,2.09723,0.00135722,0.00135722,0.00135722
4,48.0525,2.10063,2.90289,1.81226,0.2394,0.22071,0.15939,0.04742,2.42071,4.07219,2.27285,0.00142821,0.00142821,0.00142821
5,56.2273,2.10088,2.81138,1.80505,0.25247,0.21768,0.17488,0.05783,2.2627,5.63412,2.08226,0.0014276,0.0014276,0.0014276
6,64.0567,2.05916,2.64926,1.78036,0.31414,0.27886,0.2008,0.07152,2.26893,4.28652,2.07523,0.00142682,0.00142682,0.00142682
7,71.2944,2.05609,2.72855,1.78954,0.22781,0.22909,0.17779,0.05446,2.26294,4.29906,2.0452,0.00142586,0.00142586,0.00142586
8,79.0016,2.03496,2.67676,1.773,0.36209,0.31442,0.25937,0.08756,2.30522,3.2592,2.03824,0.00142473,0.00142473,0.00142473
9,86.8374,2.01622,2.61938,1.73913,0.40467,0.2835,0.26349,0.09231,2.32216,3.08284,2.06614,0.00142342,0.00142342,0.00142342
10,94.8221,1.98717,2.51247,1.72107,0.38627,0.27644,0.26862,0.09571,2.19534,3.02912,1.94442,0.00142194,0.00142194,0.00142194
11,102.609,2.01343,2.47585,1.72342,0.40709,0.32706,0.28257,0.0976,2.27388,3.14519,1.93897,0.00142029,0.00142029,0.00142029
12,110.182,1.98714,2.47632,1.70044,0.39427,0.34584,0.28131,0.09802,2.35575,3.03368,2.04612,0.00141847,0.00141847,0.00141847
13,117.986,1.93855,2.34784,1.68871,0.41749,0.25208,0.25428,0.0895,2.38414,3.26154,2.0894,0.00141647,0.00141647,0.00141647
14,125.576,1.96573,2.38665,1.70059,0.36706,0.28334,0.26911,0.09491,2.27445,3.18388,2.04855,0.0014143,0.0014143,0.0014143
15,133.433,1.94743,2.3106,1.67826,0.39954,0.33013,0.32854,0.12577,2.25875,2.87142,2.01055,0.00141196,0.00141196,0.00141196
