epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,95.5758,2.11233,1.80651,1.48069,0.30288,0.23755,0.19239,0.05851,2.56359,2.08209,1.69637,0.00104231,0.00104231,0.00104231
43,97.3707,2.11748,1.65073,1.50639,0.36321,0.2425,0.20366,0.06023,2.61349,2.03592,1.7642,0.00103288,0.00103288,0.00103288
44,99.3024,2.12029,1.66202,1.47923,0.23079,0.24502,0.17347,0.05354,2.6679,2.10901,1.81573,0.00102345,0.00102345,0.00102345
45,101.29,2.08192,1.59778,1.47003,0.29914,0.28805,0.21063,0.06295,2.61296,1.98075,1.7672,0.00101402,0.00101402,0.00101402
46,103.235,2.09586,1.58413,1.46984,0.37979,0.27028,0.24008,0.07202,2.64492,1.95913,1.76132,0.00100459,0.00100459,0.00100459
47,105.079,2.11999,1.57139,1.48972,0.3219,0.31086,0.2027,0.06092,2.63294,2.05209,1.75152,0.000995156,0.000995156,0.000995156
48,106.714,2.12782,1.59428,1.48396,0.22695,0.31112,0.22752,0.0653,2.66299,2.10597,1.75791,0.000985724,0.000985724,0.000985724
49,108.804,2.11177,1.61075,1.47615,0.29945,0.24441,0.2399,0.08302,2.57399,1.98963,1.73754,0.000976293,0.000976293,0.000976293
50,110.982,2.07463,1.54536,1.50339,0.33321,0.23381,0.1966,0.05122,2.70309,2.09356,1.83147,0.000966861,0.000966861,0.000966861
51,112.782,2.12053,1.60065,1.44906,0.25822,0.27628,0.19591,0.05964,2.56659,2.09755,1.73839,0.00095743,0.00095743,0.00095743
52,114.559,2.04724,1.5301,1.47431,0.30531,0.23824,0.19084,0.05286,2.72584,2.11621,1.87673,0.000947999,0.000947999,0.000947999
53,116.322,2.0319,1.51691,1.44003,0.33899,0.19958,0.19784,0.05794,2.58558,2.11159,1.75402,0.000938567,0.000938567,0.000938567
54,118.289,2.05498,1.63317,1.44309,0.32134,0.28589,0.21118,0.05753,2.71038,2.0106,1.85556,0.000929136,0.000929136,0.000929136
55,120.134,2.06619,1.47743,1.4326,0.29484,0.28273,0.19287,0.05647,2.67365,2.05658,1.90538,0.000919704,0.000919704,0.000919704
56,121.99,2.02726,1.48406,1.45285,0.35577,0.30394,0.24585,0.07423,2.7002,2.04828,1.87368,0.000910273,0.000910273,0.000910273
57,123.692,2.04379,1.62803,1.47793,0.27299,0.35319,0.20724,0.0571,2.75173,2.06683,1.92265,0.000900842,0.000900842,0.000900842
58,125.689,2.03176,1.49549,1.44112,0.26208,0.33261,0.21305,0.05811,2.63367,2.03581,1.7901,0.00089141,0.00089141,0.00089141
59,127.489,2.06565,1.45148,1.4411,0.20961,0.28973,0.19889,0.05828,2.63125,1.99544,1.78041,0.000881979,0.000881979,0.000881979
