epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6286,2.28789,4.04622,1.9889,0.22993,0.2117,0.17501,0.05703,2.33233,3.55898,2.19354,0.00044299,0.00044299,0.00044299
2,33.6715,2.1187,3.21968,1.84698,0.16613,0.18739,0.10697,0.03167,2.51082,4.09855,2.46161,0.000900215,0.000900215,0.000900215
3,41.6371,2.11453,2.98798,1.83249,0.22607,0.26147,0.15088,0.0536,2.28513,4.06879,2.13283,0.00135722,0.00135722,0.00135722
4,49.813,2.09843,2.87754,1.84788,0.29371,0.22506,0.19543,0.06361,2.43692,4.80321,2.33215,0.00142821,0.00142821,0.00142821
5,58.2301,2.09265,2.79165,1.80237,0.55787,0.19328,0.1848,0.06574,2.27024,7.41353,2.06833,0.0014276,0.0014276,0.0014276
6,66.1097,2.03949,2.72484,1.76589,0.16267,0.25859,0.15709,0.05605,2.27435,4.3955,2.04593,0.00142682,0.00142682,0.00142682
7,74.143,2.05802,2.67021,1.80686,0.59085,0.23415,0.21318,0.07468,2.29809,5.73719,2.10719,0.00142586,0.00142586,0.00142586
8,81.9742,2.05806,2.6957,1.81548,0.51437,0.28726,0.25219,0.09419,2.24535,3.3192,2.02142,0.00142473,0.00142473,0.00142473
9,89.7278,2.00752,2.5868,1.74587,0.30292,0.33059,0.28697,0.09936,2.28445,2.97822,2.03175,0.00142342,0.00142342,0.00142342
10,97.4245,1.98388,2.50522,1.71954,0.473,0.28865,0.29653,0.10146,2.19003,3.24339,1.94194,0.00142194,0.00142194,0.00142194
11,105.437,2.00344,2.43953,1.72018,0.3703,0.26979,0.24994,0.08457,2.3243,3.01642,2.04894,0.00142029,0.00142029,0.00142029
12,113.017,1.97091,2.45152,1.69921,0.39374,0.28065,0.27938,0.09574,2.30948,2.93868,2.0279,0.00141847,0.00141847,0.00141847
13,120.681,1.95485,2.35744,1.70931,0.38195,0.25142,0.26861,0.09489,2.30172,2.85416,2.08076,0.00141647,0.00141647,0.00141647
14,128.455,1.96893,2.41506,1.70408,0.34565,0.36453,0.28092,0.09765,2.32025,3.2539,2.08794,0.0014143,0.0014143,0.0014143
15,136.261,1.96073,2.29615,1.70957,0.39588,0.40174,0.32425,0.1207,2.2553,2.72215,2.04922,0.00141196,0.00141196,0.00141196
16,144.028,1.93918,2.30542,1.69625,0.37235,0.27092,0.25513,0.08945,2.27756,2.93128,2.00565,0.00140946,0.00140946,0.00140946
17,151.651,1.92014,2.2989,1.67966,0.37057,0.29676,0.27849,0.09817,2.32881,2.92444,2.06529,0.00140678,0.00140678,0.00140678
