epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35.6629,2.32861,1.51673,1.52444,0.18252,0.25424,0.127,0.04035,2.86559,2.36688,2.20687,0.0011882,0.0011882,0.0011882
43,36.1866,2.28466,1.45226,1.50526,0.2455,0.25424,0.13617,0.04976,2.81827,2.28629,2.09418,0.0011684,0.0011684,0.0011684
44,36.7392,2.31347,1.43899,1.43751,0.40668,0.28814,0.21081,0.07064,2.7438,2.22956,1.96658,0.0011486,0.0011486,0.0011486
45,37.2518,2.36128,1.53233,1.51198,0.40668,0.28814,0.21081,0.07064,2.7438,2.22956,1.96658,0.0011288,0.0011288,0.0011288
46,37.7669,2.32631,1.48717,1.49701,0.49564,0.28326,0.22192,0.06851,2.78992,2.20173,1.96883,0.001109,0.001109,0.001109
47,38.2398,2.27062,1.40598,1.44288,0.4007,0.27119,0.18992,0.06222,2.80838,2.17857,1.9728,0.0010892,0.0010892,0.0010892
48,38.7352,2.34406,1.43866,1.50817,0.3712,0.23729,0.18029,0.06173,2.85432,2.17744,1.98585,0.0010694,0.0010694,0.0010694
49,39.127,2.24586,1.45577,1.51077,0.3712,0.23729,0.18029,0.06173,2.85432,2.17744,1.98585,0.0010496,0.0010496,0.0010496
50,39.5949,2.21494,1.39034,1.43342,0.33488,0.22034,0.18548,0.05264,2.93375,2.24172,1.96287,0.0010298,0.0010298,0.0010298
51,40.0823,2.2379,1.51553,1.48162,0.22279,0.23729,0.18412,0.04769,3.01649,2.32109,1.98233,0.00101,0.00101,0.00101
52,40.515,2.23666,1.4194,1.44971,0.24386,0.21867,0.13629,0.03695,3.00349,2.40627,2.06132,0.0009902,0.0009902,0.0009902
53,40.9028,2.24563,1.43941,1.48542,0.24386,0.21867,0.13629,0.03695,3.00349,2.40627,2.06132,0.0009704,0.0009704,0.0009704
54,41.3761,2.16712,1.37604,1.46838,0.37841,0.23732,0.1727,0.05112,2.95658,2.39993,2.17773,0.0009506,0.0009506,0.0009506
55,41.9159,2.16623,1.38071,1.43719,0.40599,0.23729,0.17862,0.05416,3.04481,2.37174,2.22875,0.0009308,0.0009308,0.0009308
