epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8854,2.92809,3.49064,2.15582,0.02611,0.2806,0.02033,0.00566,2.90245,3.3739,1.90667,0.00018,0.00018,0.00018
2,12.5549,2.75521,2.95814,1.75358,0.02861,0.30746,0.03292,0.0086,2.81548,3.275,1.73822,0.000377492,0.000377492,0.000377492
3,13.7475,2.73953,2.3709,1.64913,0.03444,0.37015,0.09835,0.01898,2.66885,3.09414,1.67696,0.000572344,0.000572344,0.000572344
4,14.9295,2.68776,1.94588,1.62835,0.04306,0.46269,0.12048,0.02769,2.71157,2.80697,1.60116,0.000764556,0.000764556,0.000764556
5,16.3223,2.68112,1.8192,1.63648,0.09086,0.50149,0.17464,0.04232,2.78214,2.59138,1.71174,0.000954128,0.000954128,0.000954128
6,17.5148,2.63218,1.74674,1.63449,0.35186,0.20896,0.20962,0.05423,2.70127,2.33369,1.6701,0.00114106,0.00114106,0.00114106
7,18.7509,2.61764,1.73277,1.62282,0.37103,0.18806,0.19751,0.05524,2.81509,2.30071,1.6859,0.00132535,0.00132535,0.00132535
8,19.9864,2.53704,1.73339,1.62525,0.25147,0.16146,0.12136,0.02937,3.1628,2.45572,1.87063,0.001507,0.001507,0.001507
9,21.2367,2.55974,1.71701,1.58237,0.37873,0.18197,0.16479,0.03949,2.99685,2.42573,1.92297,0.00168602,0.00168602,0.00168602
10,22.4475,2.59236,1.72678,1.62685,0.37897,0.29851,0.2364,0.06253,2.70625,2.17405,1.73481,0.00186239,0.00186239,0.00186239
11,23.6229,2.58069,1.69132,1.62653,0.35435,0.32274,0.26051,0.06368,2.78435,2.06883,1.7028,0.001868,0.001868,0.001868
12,24.8314,2.53663,1.67362,1.5953,0.3345,0.36759,0.26564,0.06996,2.73453,2.02724,1.81646,0.0018548,0.0018548,0.0018548
13,25.9976,2.51492,1.66898,1.58776,0.25371,0.20597,0.13531,0.03367,3.0309,2.30981,2.05666,0.0018416,0.0018416,0.0018416
14,27.183,2.54071,1.63263,1.58972,0.39453,0.34627,0.30166,0.08247,2.72997,1.9841,1.79334,0.0018284,0.0018284,0.0018284
15,28.4318,2.50691,1.65065,1.64324,0.40765,0.42687,0.36967,0.09569,2.69444,1.83719,1.721,0.0018152,0.0018152,0.0018152
16,29.5865,2.50696,1.63247,1.58352,0.33241,0.3701,0.22869,0.05425,2.80745,1.98472,1.81749,0.001802,0.001802,0.001802
17,30.7309,2.48545,1.58632,1.56218,0.33836,0.28657,0.23621,0.05799,2.96218,1.994,1.89747,0.0017888,0.0017888,0.0017888
18,31.7832,2.446,1.62774,1.58385,0.40499,0.26567,0.23011,0.06031,3.00104,2.06739,1.87942,0.0017756,0.0017756,0.0017756
19,33.0173,2.46194,1.61108,1.57832,0.38447,0.26866,0.22563,0.05856,2.93041,1.98535,1.80871,0.0017624,0.0017624,0.0017624
20,34.2468,2.48363,1.59734,1.54898,0.37421,0.36716,0.24963,0.06142,2.77018,2.00657,1.72787,0.0017492,0.0017492,0.0017492
21,35.3218,2.45756,1.58593,1.55688,0.35954,0.26866,0.2187,0.05647,3.028,2.05367,1.86766,0.001736,0.001736,0.001736
22,36.4894,2.43213,1.58951,1.60295,0.45841,0.39403,0.38372,0.10803,2.68105,1.92116,1.70229,0.0017228,0.0017228,0.0017228
23,38.0532,2.47649,1.5887,1.59274,0.44106,0.37313,0.34528,0.09692,2.67595,1.80859,1.67231,0.0017096,0.0017096,0.0017096
24,39.361,2.42371,1.60282,1.59589,0.46086,0.41791,0.35587,0.09511,2.63029,1.81894,1.67844,0.0016964,0.0016964,0.0016964
25,40.6306,2.40155,1.56873,1.574,0.47498,0.39403,0.34319,0.09584,2.68774,1.75192,1.7437,0.0016832,0.0016832,0.0016832
26,41.6902,2.40124,1.55917,1.57216,0.41627,0.43639,0.34327,0.09229,2.71024,1.80336,1.76632,0.00167,0.00167,0.00167
27,42.762,2.40126,1.53526,1.55317,0.46339,0.41791,0.3409,0.09235,2.64422,1.78918,1.72552,0.0016568,0.0016568,0.0016568
28,43.9758,2.40306,1.54118,1.53605,0.44936,0.43284,0.34436,0.09441,2.63749,1.81055,1.71019,0.0016436,0.0016436,0.0016436
29,45.1116,2.38692,1.54541,1.55465,0.46748,0.43582,0.36461,0.09744,2.68828,1.75141,1.73712,0.0016304,0.0016304,0.0016304
30,46.3392,2.37668,1.51064,1.51801,0.44443,0.43582,0.33676,0.08597,2.76118,1.7682,1.77578,0.0016172,0.0016172,0.0016172
31,47.548,2.33756,1.48051,1.51405,0.46641,0.32836,0.32334,0.08022,2.90368,1.74328,1.89064,0.001604,0.001604,0.001604
32,48.638,2.3176,1.51566,1.52633,0.45422,0.37015,0.33834,0.09427,2.8003,1.81708,1.77328,0.0015908,0.0015908,0.0015908
33,49.7297,2.33987,1.50774,1.5321,0.4769,0.33731,0.30431,0.08279,2.83644,1.78562,1.78947,0.0015776,0.0015776,0.0015776
34,50.9743,2.33811,1.49046,1.53065,0.52445,0.34328,0.3392,0.0886,2.81178,1.73093,1.76989,0.0015644,0.0015644,0.0015644
35,52.3739,2.33282,1.46446,1.50979,0.53379,0.40299,0.40741,0.11133,2.65295,1.70725,1.68673,0.0015512,0.0015512,0.0015512
36,53.4884,2.36432,1.47375,1.53396,0.49102,0.4209,0.369,0.10278,2.63271,1.76708,1.69903,0.001538,0.001538,0.001538
37,54.6634,2.34281,1.45105,1.51248,0.51518,0.44776,0.41772,0.11076,2.67155,1.75202,1.67648,0.0015248,0.0015248,0.0015248
38,55.9366,2.29326,1.45925,1.5104,0.46848,0.39104,0.38099,0.10044,2.69578,1.76701,1.73946,0.0015116,0.0015116,0.0015116
39,57.0105,2.30194,1.45251,1.54262,0.40872,0.41888,0.35256,0.10224,2.67123,1.7672,1.68761,0.0014984,0.0014984,0.0014984
40,58.1173,2.27343,1.44827,1.54419,0.49148,0.39403,0.37157,0.10511,2.6949,1.75454,1.69653,0.0014852,0.0014852,0.0014852
41,59.1545,2.32962,1.47245,1.49334,0.46161,0.39403,0.33084,0.09064,2.73059,1.76638,1.7285,0.001472,0.001472,0.001472
42,60.3035,2.34337,1.45326,1.50407,0.47065,0.40607,0.35868,0.09885,2.69403,1.77287,1.71879,0.0014588,0.0014588,0.0014588
43,61.4179,2.34598,1.45522,1.46967,0.41237,0.4209,0.35145,0.0988,2.69752,1.73471,1.69694,0.0014456,0.0014456,0.0014456
44,62.6334,2.29474,1.45742,1.5185,0.52816,0.40896,0.40351,0.10523,2.72522,1.71631,1.73911,0.0014324,0.0014324,0.0014324
45,63.8452,2.36239,1.45451,1.55316,0.39791,0.38863,0.29111,0.06992,2.82478,1.88698,1.76374,0.0014192,0.0014192,0.0014192
