epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0514,2.81186,3.92579,2.03737,0.00452,0.08836,0.00645,0.00218,2.64448,3.81818,1.74595,0.00022864,0.00022864,0.00022864
2,14.1181,2.59413,3.15968,1.66725,0.01557,0.21969,0.03251,0.00896,2.49566,3.59967,1.61201,0.000468458,0.000468458,0.000468458
3,15.8919,2.58965,2.57533,1.60949,0.0241,0.30506,0.06398,0.01657,2.75091,3.14601,1.71669,0.000705069,0.000705069,0.000705069
4,17.839,2.60727,2.32638,1.64141,0.03307,0.42216,0.06666,0.01824,2.58286,2.92757,1.6206,0.000938473,0.000938473,0.000938473
5,19.8343,2.50765,2.22155,1.60974,0.5277,0.10385,0.09899,0.02622,2.66042,2.5958,1.8163,0.00116867,0.00116867,0.00116867
6,21.6825,2.47578,2.12042,1.60084,0.21964,0.2191,0.11735,0.03268,2.58942,2.41484,1.75529,0.00138184,0.00138184,0.00138184
7,23.4795,2.47417,2.06688,1.59009,0.68333,0.14869,0.14351,0.03983,2.5654,2.66566,1.716,0.00137241,0.00137241,0.00137241
8,25.2826,2.4805,2.03241,1.59195,0.46822,0.22677,0.12346,0.03596,2.58417,3.13471,1.77534,0.00136298,0.00136298,0.00136298
9,27.1563,2.42135,2.01959,1.56314,0.17802,0.14938,0.11463,0.03372,2.65381,2.37098,1.84795,0.00135355,0.00135355,0.00135355
10,28.95,2.40252,2.07381,1.57745,0.17046,0.24198,0.16653,0.04938,2.58942,2.20869,1.7964,0.00134412,0.00134412,0.00134412
11,30.7491,2.31299,1.89319,1.54029,0.32215,0.25259,0.19538,0.06322,2.46764,2.31644,1.70138,0.00133469,0.00133469,0.00133469
12,32.4974,2.38459,1.92737,1.57656,0.50833,0.23333,0.15762,0.04626,2.52583,2.21337,1.67943,0.00132525,0.00132525,0.00132525
13,34.1998,2.35563,1.88962,1.56673,0.15731,0.22662,0.17768,0.05103,2.58059,2.29296,1.71999,0.00131582,0.00131582,0.00131582
14,35.8484,2.27783,1.86272,1.55289,0.28242,0.29487,0.1987,0.06038,2.53745,2.12542,1.65888,0.00130639,0.00130639,0.00130639
15,37.6958,2.26696,1.82045,1.55546,0.33304,0.24364,0.22873,0.07215,2.59741,2.12405,1.72525,0.00129696,0.00129696,0.00129696
16,39.7469,2.24168,1.83262,1.51706,0.15768,0.18596,0.11566,0.03617,2.65661,2.55431,1.84761,0.00128753,0.00128753,0.00128753
17,41.5741,2.26459,1.77077,1.49212,0.19093,0.27045,0.18018,0.05591,2.50016,2.07722,1.66784,0.0012781,0.0012781,0.0012781
18,43.3577,2.26305,1.74487,1.5186,0.24944,0.23858,0.20821,0.06212,2.55255,2.045,1.69413,0.00126867,0.00126867,0.00126867
19,45.0059,2.31771,1.73418,1.52316,0.59936,0.24915,0.20495,0.05939,2.54372,2.03413,1.69933,0.00125923,0.00125923,0.00125923
20,46.8352,2.23273,1.74175,1.51368,0.17378,0.2152,0.1529,0.04556,2.68227,2.1848,1.80936,0.0012498,0.0012498,0.0012498
21,48.6447,2.22998,1.73677,1.49873,0.34378,0.23148,0.14886,0.046,2.61274,2.25447,1.76723,0.00124037,0.00124037,0.00124037
22,50.5345,2.22911,1.68647,1.46393,0.26883,0.23747,0.18772,0.06094,2.69274,2.2145,1.80386,0.00123094,0.00123094,0.00123094
23,53.1434,2.22938,1.69138,1.48677,0.30086,0.1897,0.18398,0.0588,2.60944,2.17574,1.74318,0.00122151,0.00122151,0.00122151
24,55.3612,2.1744,1.65123,1.48039,0.2341,0.24838,0.21892,0.06233,2.63378,2.02235,1.76779,0.00121208,0.00121208,0.00121208
25,57.2907,2.15293,1.59274,1.46358,0.40033,0.23988,0.21833,0.07076,2.61762,1.98185,1.77462,0.00120265,0.00120265,0.00120265
26,59.1382,2.20719,1.63304,1.46857,0.35167,0.2308,0.19828,0.06089,2.71674,2.20017,1.90485,0.00119322,0.00119322,0.00119322
27,61.1293,2.1396,1.5895,1.44683,0.39878,0.25672,0.23924,0.07841,2.56442,2.02999,1.75943,0.00118378,0.00118378,0.00118378
28,63.0491,2.16406,1.60628,1.45656,0.33492,0.25064,0.2091,0.06581,2.56523,2.01209,1.73024,0.00117435,0.00117435,0.00117435
29,64.8635,2.14746,1.58437,1.46,0.30748,0.25399,0.18363,0.05261,2.61275,2.24024,1.74525,0.00116492,0.00116492,0.00116492
30,66.6725,2.11402,1.57745,1.43858,0.24788,0.29993,0.20691,0.06247,2.58927,2.12278,1.72337,0.00115549,0.00115549,0.00115549
31,68.5614,2.11095,1.50712,1.44979,0.29409,0.21799,0.20234,0.0601,2.66329,2.08167,1.82112,0.00114606,0.00114606,0.00114606
32,70.2217,2.1335,1.5277,1.41502,0.25642,0.311,0.21141,0.06169,2.639,2.10838,1.84075,0.00113663,0.00113663,0.00113663
33,72.6007,2.07362,1.50873,1.42102,0.25059,0.27519,0.20167,0.0594,2.68453,2.02936,1.86826,0.0011272,0.0011272,0.0011272
34,74.5679,2.08444,1.50225,1.43083,0.2707,0.24217,0.1913,0.05636,2.65245,2.14957,1.77538,0.00111776,0.00111776,0.00111776
35,76.3036,2.03034,1.44244,1.42908,0.33581,0.23767,0.20261,0.05721,2.75462,2.11336,1.83645,0.00110833,0.00110833,0.00110833
36,78.0463,2.07735,1.45435,1.42287,0.22219,0.24298,0.19991,0.05863,2.70116,2.08082,1.83234,0.0010989,0.0010989,0.0010989
37,79.7827,2.07787,1.4221,1.41061,0.3398,0.21258,0.2025,0.06629,2.6801,2.19835,1.92504,0.00108947,0.00108947,0.00108947
38,81.8419,2.02003,1.42712,1.38403,0.34761,0.23453,0.2063,0.06129,2.64549,2.11035,1.8342,0.00108004,0.00108004,0.00108004
39,83.7115,2.05656,1.41063,1.41906,0.3162,0.24835,0.21996,0.06631,2.65702,2.12704,1.83414,0.00107061,0.00107061,0.00107061
40,85.568,2.01659,1.4169,1.39677,0.3061,0.22849,0.21119,0.06338,2.65621,2.18152,1.79211,0.00106118,0.00106118,0.00106118
41,87.4061,1.95118,1.32905,1.34497,0.24273,0.28222,0.21193,0.06629,2.66072,2.12274,1.83225,0.00105174,0.00105174,0.00105174
42,89.0567,1.96166,1.30737,1.35742,0.34172,0.2852,0.23818,0.06968,2.71603,2.06,1.85769,0.00104231,0.00104231,0.00104231
43,90.8537,1.98437,1.33406,1.36509,0.30175,0.28608,0.23441,0.06637,2.70071,2.08829,1.82498,0.00103288,0.00103288,0.00103288
44,92.5987,1.94231,1.29402,1.33546,0.30289,0.236,0.19609,0.05892,2.81429,2.07748,1.84935,0.00102345,0.00102345,0.00102345
45,94.6867,1.92428,1.25692,1.31832,0.25773,0.27424,0.19004,0.05191,2.82251,2.15888,1.8693,0.00101402,0.00101402,0.00101402
46,96.5311,1.87882,1.25549,1.31909,0.31223,0.24659,0.20889,0.05872,2.66623,2.12685,1.81699,0.00100459,0.00100459,0.00100459
47,98.7109,1.97122,1.31095,1.34912,0.20908,0.24904,0.18057,0.05579,2.74534,2.20237,1.90376,0.000995156,0.000995156,0.000995156
48,100.857,1.88829,1.23919,1.31064,0.31338,0.26645,0.20214,0.05971,2.69115,2.16743,1.85535,0.000985724,0.000985724,0.000985724
49,102.734,1.90997,1.23013,1.33958,0.33579,0.19495,0.20106,0.05424,2.7436,2.28563,1.85824,0.000976293,0.000976293,0.000976293
50,104.69,1.90591,1.22331,1.29897,0.30959,0.24677,0.17977,0.04678,2.85888,2.22062,1.94489,0.000966861,0.000966861,0.000966861
51,106.404,1.87005,1.26575,1.32035,0.28017,0.2604,0.20004,0.05563,2.73792,2.12265,1.85262,0.00095743,0.00095743,0.00095743
52,108.346,1.8317,1.19746,1.26877,0.40709,0.33138,0.22684,0.06351,2.78438,2.0916,1.9186,0.000947999,0.000947999,0.000947999
53,110.297,1.78489,1.19735,1.27561,0.28848,0.27185,0.21474,0.06103,2.84776,2.10637,2.01636,0.000938567,0.000938567,0.000938567
54,112.247,1.82668,1.189,1.30223,0.25015,0.24051,0.21963,0.06284,2.76634,2.09271,1.88701,0.000929136,0.000929136,0.000929136
55,114.043,1.84983,1.1633,1.28287,0.45184,0.23155,0.23981,0.06856,2.76542,2.07079,1.87035,0.000919704,0.000919704,0.000919704
56,116.059,1.7662,1.11306,1.24644,0.27872,0.22832,0.21297,0.05709,2.79174,2.08465,1.91832,0.000910273,0.000910273,0.000910273
57,118.141,1.74102,1.13391,1.25462,0.33002,0.26915,0.20512,0.05948,2.7867,2.154,1.95346,0.000900842,0.000900842,0.000900842
