epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8327,2.45609,4.4829,2.20317,0.22508,0.21004,0.13453,0.0421,2.44452,3.79627,2.23722,0.00044299,0.00044299,0.00044299
2,31.1306,2.27342,3.59699,1.9763,0.15142,0.29467,0.09677,0.02741,2.51994,4.16024,2.38119,0.000900215,0.000900215,0.000900215
3,38.6057,2.24786,3.34925,1.9578,0.12011,0.20772,0.08367,0.02682,2.6487,4.14257,2.32806,0.00135722,0.00135722,0.00135722
4,46.0719,2.27791,3.36392,1.99061,0.06861,0.10874,0.03363,0.01075,3.30647,inf,4.03936,0.00142821,0.00142821,0.00142821
5,53.8259,2.26463,3.28144,1.9479,0.22877,0.28111,0.15796,0.05372,2.4381,4.85909,2.18924,0.0014276,0.0014276,0.0014276
6,61.1816,2.17337,3.20127,1.90861,0.29835,0.30355,0.21503,0.07381,2.46115,3.38394,2.21865,0.00142682,0.00142682,0.00142682
7,68.2512,2.20123,3.20656,1.94134,0.51487,0.23276,0.20275,0.06774,2.36307,3.90865,2.13268,0.00142586,0.00142586,0.00142586
8,75.6091,2.20416,3.12193,1.94271,0.3507,0.24919,0.20543,0.07976,2.30478,3.56924,2.10016,0.00142473,0.00142473,0.00142473
9,82.8392,2.1631,3.03361,1.89003,0.34542,0.3726,0.20945,0.07304,2.33528,3.60141,2.09777,0.00142342,0.00142342,0.00142342
10,89.8124,2.15265,3.01952,1.90674,0.22402,0.2819,0.17747,0.05422,2.45628,3.52616,2.21564,0.00142194,0.00142194,0.00142194
11,96.7883,2.19768,3.01843,1.8832,0.25169,0.24575,0.20059,0.07654,2.32249,3.63916,2.00503,0.00142029,0.00142029,0.00142029
12,104.223,2.12494,2.88937,1.85482,0.39443,0.29937,0.27622,0.09791,2.37901,3.58665,2.11913,0.00141847,0.00141847,0.00141847
13,111.896,2.12396,2.85097,1.86084,0.43433,0.27802,0.28448,0.11273,2.36558,3.39411,2.14402,0.00141647,0.00141647,0.00141647
14,119.089,2.12116,2.91096,1.87045,0.29508,0.32846,0.213,0.07778,2.46907,3.98906,2.21287,0.0014143,0.0014143,0.0014143
15,126.383,2.09855,2.80543,1.83109,0.34991,0.34037,0.28149,0.09955,2.39811,3.16024,2.09785,0.00141196,0.00141196,0.00141196
16,133.707,2.09179,2.76495,1.83589,0.40468,0.34611,0.29986,0.09768,2.4736,3.08502,2.2583,0.00140946,0.00140946,0.00140946
17,140.992,2.07476,2.77272,1.82783,0.39357,0.33789,0.29924,0.1149,2.34174,3.05165,2.06427,0.00140678,0.00140678,0.00140678
18,149.003,2.05401,2.78756,1.83483,0.43927,0.34771,0.31075,0.11421,2.42908,3.43813,2.11835,0.00140393,0.00140393,0.00140393
19,156.661,2.07158,2.76267,1.81157,0.32374,0.37391,0.2691,0.09263,2.37267,2.98073,2.03037,0.00140091,0.00140091,0.00140091
